fsn_id,product_analytic_super_category,product_analytic_category,product_analytic_sub_category,product_analytic_vertical
ACCCX3S58G7B5F6P,CE,CameraAccessory,CameraAccessory,CameraTripod
ACCCX3S5AHMF55FV,CE,CameraAccessory,CameraAccessory,CameraTripod
ACCCX3S5JGAJETYR,CE,CameraAccessory,CameraAccessory,CameraTripod
ACCCX3SG2GG9YYAH,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGAR6NNBMR,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGDGPZAQXD,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGDZFGCGHX,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGEHZZXTP4,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGEP6YD7SW,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGFMC9ZMZC,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGG8ZFK8J7,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGHECGPPFU,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGJRUGH99Z,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGN4BGZGQY,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGNCVR7G2N,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGRHSRGTHZ,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGWZYQA2GT,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGXXNXBXSN,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGYNGJKUMM,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SGZNWFTGCH,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SH2YWP8JZR,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SH6AQJRGJJ,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SH73WUYMEF,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SH9SK5DQED,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHB7ASCS88,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHBDQGU54P,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHBG2AT6XJ,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHC3ZUVHFG,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHDRPCFHEE,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHGWHX8BJH,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHHBMAZZFS,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHMBRSBGTR,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHNCTKDXYH,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHPYMYXTX9,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHQUAJJG2F,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHSDEJRJFB,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHSVHHGWB2,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHT7NAHBYR,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHXMJHBHHK,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SHZKPZ3E5K,CE,CameraAccessory,CameraAccessory,CameraBag
ACCCX3SQHEQPAXTC,CE,CameraAccessory,CameraAccessory,Flash
ACCCX3SQHGSTDKTU,CE,CameraAccessory,CameraAccessory,Flash
ACCCX3SQYGWVTYNH,CE,CameraAccessory,CameraAccessory,Flash
ACCCX3SU22JG8NJX,CE,CameraAccessory,CameraAccessory,CameraBattery
ACCCX3SU2FSTVQPU,CE,CameraAccessory,CameraAccessory,CameraBatteryCharger
ACCCX3SU3FJYFUZG,CE,CameraAccessory,CameraAccessory,CameraBatteryCharger
ACCCX3SU5VYKHSZG,CE,CameraAccessory,CameraAccessory,CameraBattery
ACCCX3SUBDTT3GMA,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SUBXAF4QRK,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SUEACQJ2QG,CE,CameraAccessory,CameraAccessory,Lens
ACCCX3SUGFJ2NH3P,CE,CameraAccessory,CameraAccessory,CameraBatteryCharger
ACCCX3SUGV6EFVBH,CE,CameraAccessory,CameraAccessory,CameraBattery
ACCCX3SUSEQ2YH9P,CE,CameraAccessory,CameraAccessory,CameraBatteryCharger
ACCCX3SUVBGFAZD4,CE,CameraAccessory,CameraAccessory,CameraBattery
ACCCX3SUVW5DU5SH,CE,CameraAccessory,CameraAccessory,CameraBattery
ACCCX3SUXQRWTWZM,CE,CameraAccessory,CameraAccessory,CameraBattery
ACCCX3SUXUNQCRGW,CE,CameraAccessory,CameraAccessory,CameraBattery
ACCCX3SUY6W6ZPEG,CE,CameraAccessory,CameraAccessory,Lens
ACCCXEZHFZDFY3PR,CE,CameraAccessory,CameraAccessory,Lens
ACCCXGEQHJVZ8QEB,CE,CameraAccessory,CameraAccessory,Lens
ACCCYH98AZH5WHDF,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKFGZPHFVU,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKHHMTSDSG,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKHZR3BGRR,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKSWFXGRD8,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKWH66RYZ6,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKXDPX2EWJ,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKYHJ4KXBG,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKZU3JRKDK,CE,CameraAccessory,CameraAccessory,Lens
ACCCYNHKZYGN5UEU,CE,CameraAccessory,CameraAccessory,Lens
ACCCYZFNBHJNG9GQ,CE,CameraAccessory,CameraAccessory,Lens
ACCCYZFNF8CDEBA8,CE,CameraAccessory,CameraAccessory,Lens
ACCCYZFZ6SZN7ZYG,CE,CameraAccessory,CameraAccessory,Lens
ACCCYZFZCHVDVGET,CE,CameraAccessory,CameraAccessory,Lens
ACCCYZFZF4HSCJHG,CE,CameraAccessory,CameraAccessory,Lens
ACCCYZFZZ8YFZA34,CE,CameraAccessory,CameraAccessory,Lens
ACCCYZFZZJYF95F3,CE,CameraAccessory,CameraAccessory,Lens
ACCCZ34CBVZJTVQF,CE,GamingHardware,GamingAccessory,GamePad
ACCCZ34CBZFWKPBQ,CE,GamingHardware,GamingAccessory,GamePad
ACCCZ34E5JSJYHJZ,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ34EDY5EYMJ6,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ34EGYZUYQED,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ34ESZGMDZKT,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ34EVJNSMYSG,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ34EXGXQ8ZSF,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ34EZDHPBS9K,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ34EZXWANFNF,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ3T2GWQEHFFC,CE,GamingHardware,GamingAccessory,GamingAccessoryKit
ACCCZ3TAGGK4DTZH,CE,GamingHardware,GamingAccessory,GamingHeadset
ACCCZ3TE442VHFRH,CE,GamingHardware,GamingAccessory,GamingMemoryCard
ACCCZ3TF5JA6UZGY,CE,GamingHardware,GamingAccessory,MotionController
ACCCZ3TFJ2W9NPSK,CE,GamingHardware,GamingAccessory,MotionController
ACCCZ3TFQHYJBNGZ,CE,GamingHardware,GamingAccessory,MotionController
ACCCZ3TFSPGHKCUS,CE,GamingHardware,GamingAccessory,MotionController
ACCCZ3TGKGSN4ZHJ,CE,GamingHardware,GamingAccessory,GamingMouse
ACCCZ9JZKRW5PHBG,CE,CameraAccessory,CameraAccessory,CameraTripod
ACCCZ9JZSRZHGPZH,CE,CameraAccessory,CameraAccessory,CameraTripod
ACCCZ9JZVMBQXUFS,CE,CameraAccessory,CameraAccessory,CameraTripod
