order_date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
2023-01-01,0.0,-8.5,-4.3,22.3,0.0,0.0,0.0,0.0,0.0,,
2023-01-02,3.0,-3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,,
2023-01-03,2.5,-4.0,-0.8,18.8,0.0,24.0,0.0,24.0,0.0,,
2023-01-04,2.5,0.0,1.3,16.7,0.0,0.0,1.0,1.0,0.0,,
2023-01-05,-10.0,-13.5,-11.8,29.8,0.0,0.0,3.0,3.0,1.0,,
2023-01-06,,,,,,,,,,,
2023-01-07,,,,,,,,,,,
2023-01-08,,,,,,,,,,,
2023-01-09,-7.0,-14.0,-10.5,28.5,0.0,0.0,0.0,0.0,4.0,,
2023-01-10,-2.5,,,,,0.0,0.0,0.0,0.0,,
2023-01-11,,,,,,,,,,,
2023-01-12,,,,,,,,,,,
2023-01-13,-12.0,-17.0,-14.5,32.5,0.0,0.0,0.0,0.0,8.0,,
2023-01-14,,,,,,,,,,,
2023-01-15,,,,,,0.0,0.0,0.0,0.0,,
2023-01-16,,,,,,,,,,,
2023-01-17,,,,,,,,,,,
2023-01-18,5.0,-4.0,0.5,17.5,0.0,1.2,0.0,1.2,2.0,,
2023-01-19,3.0,,,,,0.0,0.0,0.0,0.0,,
2023-01-20,,,,,,,,,,,
2023-01-21,-4.0,-6.0,-5.0,23.0,0.0,0.0,0.0,0.0,4.0,,
2023-01-22,,,,,,,,,,,
2023-01-23,,,,,,,,,,,
2023-01-24,,,,,,,,,,,
2023-01-25,,,,,,0.0,0.0,0.0,0.0,,
2023-01-26,-5.0,,,,,0.0,0.0,0.0,0.0,,
2023-01-27,,,,,,,,,,,
2023-01-28,2.0,-14.0,-6.0,24.0,0.0,0.0,0.0,0.0,3.0,,
2023-01-29,,,,,,,,,,,
2023-01-30,,,,,,,,,,,
2023-01-31,1.0,-13.5,-6.3,24.3,0.0,0.0,5.0,5.0,0.0,,
2023-02-01,-4.0,-6.0,-5.0,23.0,0.0,0.0,15.0,15.0,8.0,,
2023-02-02,-7.0,-10.5,-8.8,26.8,0.0,0.0,0.0,0.0,30.0,,
2023-02-03,,,,,,,,,,,
2023-02-04,1.0,-6.0,-2.5,20.5,0.0,0.0,2.0,2.0,30.0,,
2023-02-05,,,,,,,,,,,
2023-02-06,,,,,,,,,,,
2023-02-07,,,,,,,,,,,
2023-02-08,2.5,-0.5,1.0,17.0,0.0,2.8,0.0,2.8,24.0,,
2023-02-09,,,,,,,,,,,
2023-02-10,-1.5,,,,,0.0,0.0,0.0,0.0,,
2023-02-11,0.5,-10.0,-4.8,22.8,0.0,0.0,2.0,2.0,20.0,,
2023-02-12,,,,,,,,,,,
2023-02-13,-4.0,-19.0,-11.5,29.5,0.0,0.0,5.0,5.0,20.0,,
2023-02-14,-7.0,-14.5,-10.8,28.8,0.0,0.0,0.0,0.0,23.0,,
2023-02-15,,,,,,,,,,,
2023-02-16,-12.0,-24.0,-18.0,36.0,0.0,0.0,0.0,0.0,22.0,,
2023-02-17,,,,,,,,,,,
2023-02-18,-5.5,-15.5,-10.5,28.5,0.0,0.0,0.0,0.0,22.0,,
2023-02-19,,,,,,,,,,,
2023-02-20,,,,,,,,,,,
2023-02-21,-3.0,-20.0,-11.5,29.5,0.0,0.0,3.0,3.0,0.0,,
2023-02-22,1.0,,,,,0.0,0.0,0.0,0.0,,
2023-02-23,,,,,,,,,,,
2023-02-24,-6.5,-18.5,-12.5,30.5,0.0,0.0,0.0,0.0,24.0,,
2023-02-25,,,,,,,,,,,
2023-02-26,-8.5,-14.5,-11.5,29.5,0.0,0.0,3.0,3.0,23.0,,
2023-02-27,,,,,,,,,,,
2023-02-28,,,,,,,,,,,
2023-03-01,-2.5,-12.5,-7.5,25.5,0.0,0.0,1.0,1.0,27.0,,
2023-03-02,,,,,,,,,,,
2023-03-03,2.0,-10.0,-4.0,22.0,0.0,3.0,0.0,3.0,27.0,,
2023-03-04,3.5,-5.5,-1.0,19.0,0.0,0.0,0.0,0.0,24.0,,
2023-03-05,,,,,,0.0,0.0,0.0,0.0,,
2023-03-06,,,,,,0.0,0.0,0.0,0.0,,
2023-03-07,6.0,,,,,0.0,0.0,0.0,0.0,,
2023-03-08,7.0,2.0,4.5,13.5,0.0,0.0,0.0,0.0,20.0,,
2023-03-09,,,,,,,,,,,
2023-03-10,,,,,,,,,,,
2023-03-11,11.0,-4.0,3.5,14.5,0.0,0.0,0.0,0.0,0.0,,
2023-03-12,7.0,,,,,0.0,0.0,0.0,0.0,,
2023-03-13,,,,,,,,,,,
2023-03-14,11.0,3.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,,
2023-03-15,,,,,,,,,,,
2023-03-16,13.0,,,,,0.0,0.0,0.0,0.0,,
2023-03-17,,,,,,,,,,,
2023-03-18,,,,,,,,,,,
2023-03-19,9.0,,,,,0.0,0.0,0.0,0.0,,
2023-03-20,,,,,,,,,,,
2023-03-21,,,,,,,,,,,
2023-03-22,,,,,,0.0,0.0,0.0,0.0,,
2023-03-23,,,,,,,,,,,
2023-03-24,,,,,,,,,,,
2023-03-25,,,,,,,,,,,
2023-03-26,7.0,0.0,3.5,14.5,0.0,0.0,0.0,0.0,0.0,,
2023-03-27,,,,,,,,,,,
2023-03-28,2.5,,,,,0.0,0.0,0.0,0.0,,
2023-03-29,6.0,-9.0,-1.5,19.5,0.0,0.0,0.0,0.0,0.0,,
2023-03-30,,,,,,0.0,0.0,0.0,0.0,,
2023-03-31,15.0,,,,,0.0,0.0,0.0,0.0,,
2023-04-01,15.0,0.0,7.5,10.5,0.0,0.0,0.0,0.0,0.0,,
2023-04-02,14.5,3.5,9.0,9.0,0.0,6.0,0.0,6.0,0.0,,
2023-04-03,15.0,4.0,9.5,8.5,0.0,1.0,0.0,1.0,0.0,,
2023-04-04,,,,,,0.0,0.0,0.0,0.0,,
2023-04-05,,,,,,,,,,,
2023-04-06,13.5,,,,,1.4,0.0,1.4,0.0,,
2023-04-07,8.0,4.0,6.0,12.0,0.0,0.4,0.0,0.4,0.0,,
2023-04-08,,,,,,,,,,,
2023-04-09,18.0,2.5,10.3,7.7,0.0,8.0,0.0,8.0,0.0,,
2023-04-10,15.0,8.5,11.8,6.2,0.0,0.0,0.0,0.0,0.0,,
2023-04-11,18.5,1.5,10.0,8.0,0.0,0.0,0.0,0.0,0.0,,
2023-04-12,15.5,1.0,8.3,9.7,0.0,0.0,0.0,0.0,0.0,,
2023-04-13,21.5,,,,,7.4,0.0,7.4,0.0,,
2023-04-14,17.5,3.5,10.5,7.5,0.0,0.0,0.0,0.0,0.0,,
2023-04-15,,,,,,,,,,,
2023-04-16,,,,,,,,,,,
2023-04-17,,,,,,,,,,,
2023-04-18,23.0,,,,,0.0,0.0,0.0,0.0,,
2023-04-19,15.0,5.0,10.0,8.0,0.0,11.2,0.0,11.2,0.0,,
2023-04-20,18.0,10.0,14.0,4.0,0.0,1.4,0.0,1.4,0.0,,
2023-04-21,12.5,5.0,8.8,9.2,0.0,0.0,0.0,0.0,0.0,,
2023-04-22,7.0,2.5,4.8,13.2,0.0,0.0,0.0,0.0,0.0,,
2023-04-23,5.0,,,,,0.0,0.0,0.0,0.0,,
2023-04-24,,,,,,,,,,,
2023-04-25,,,,,,,,,,,
2023-04-26,14.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,,
2023-04-27,,,,,,,,,,,
2023-04-28,20.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,,
2023-04-29,,,,,,,,,,,
2023-04-30,,,,,,,,,,,
2023-05-01,22.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,,
2023-05-02,24.0,7.0,15.5,2.5,0.0,0.0,0.0,0.0,0.0,,
2023-05-03,26.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2023-05-04,22.5,15.5,19.0,0.0,1.0,3.0,0.0,3.0,0.0,,
2023-05-05,,,,,,,,,,,
2023-05-06,,,,,,,,,,,
2023-05-07,28.0,9.0,18.5,0.0,0.5,0.0,0.0,0.0,0.0,,
2023-05-08,30.5,13.0,21.8,0.0,3.8,0.0,0.0,0.0,0.0,,
2023-05-09,29.0,14.0,21.5,0.0,3.5,4.2,0.0,4.2,0.0,,
2023-05-10,28.0,13.0,20.5,0.0,2.5,1.0,0.0,1.0,0.0,,
2023-05-11,29.5,15.0,22.3,0.0,4.3,9.4,0.0,9.4,0.0,,
2023-05-12,,,,,,,,,,,
2023-05-13,13.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,,
2023-05-14,19.0,1.0,10.0,8.0,0.0,5.0,0.0,5.0,0.0,,
2023-05-15,,,,,,,,,,,
2023-05-16,25.5,16.0,20.8,0.0,2.8,4.8,0.0,4.8,0.0,,
2023-05-17,28.0,17.0,22.5,0.0,4.5,0.0,0.0,0.0,0.0,,
2023-05-18,,,,,,,,,,,
2023-05-19,13.5,11.0,12.3,5.7,0.0,0.0,0.0,0.0,0.0,,
2023-05-20,,,,,,,,,,,
2023-05-21,,,,,,,,,,,
2023-05-22,20.0,10.5,15.3,2.7,0.0,0.0,0.0,0.0,0.0,,
